"","id","designer"
"612","219513","Phil Walker-Harding"
"613","308119","Phil Eklund"
"614","308119","Matt Eklund"
"615","176920","Bruno Cathala"
"616","176920","Bruno Faidutti"
"617","77130","Kevin Wilson"
"618","59959","Gabriele Mari"
"619","59959","Gianluca Santopietro"
"620","336382","Andrea Chiarvesio"
"621","336382","Eric M. Lang"
"622","336382","Francesco Rugerfred Sedda"
"623","39856","Jean-Louis Roubira"
"624","246192","Phil Walker-Harding"
"625","297030","Daniele Tascini"
"626","297030","David Turczi"
"627","45315","Vlaada Chvatil"
"628","199042","Sean Fletcher"
"629","199042","Forrest-Pruzan Creative"
"630","199042","Kami Mandell"
"631","199042","Andrew Wolf"
"632","276182","John D. Clair"
"633","311988","Adam Kwapinski"
"634","146439","Richard Borg"
"635","146439","Robert A. Kouba"
"636","128271","Xavier Georges"
"637","379078","Jamey Stegmaier"
"638","247367","Jon Perry"
"639","70919","Antoine Bauza"
"640","245934","Stefan Feld"
"641","181304","Oleksandr Nevskiy"
"642","181304","Oleg Sidorenko"
"643","40354","Richard Sivel"
"644","342810","Stefan Feld"
"645","155987","Bruno Cathala"
"646","155987","Charles Chevallier"
"647","37046","Antoine Bauza"
"648","8217","Andreas Seyfarth"
"649","372","Reiner Knizia"
"650","274638","Rob Daviau"
"651","274638","Justin D. Jacobson"
"652","41114","Don Eskridge"
"653","333255","Luis Brueh"
"654","119890","Uwe Rosenberg"
"655","90137","Jay Little"
"656","163745","James Kniffen"
"657","163745","Christian T. Petersen"
"658","192458","Ignacy Trzewiczek"
"659","222509","Adam Kwapinski"
"660","246684","Ivan Lashin"
"661","234","Mark Simonitch"
"662","269210","Wolfgang Warsch"
"663","234487","Reiner Stockhausen"
"664","25554","Stefan Feld"
"665","24480","Michael Rieneck"
"666","24480","Stefan Stadler"
"667","244711","Simone Luciani"
"668","244711","Nestore Mangone"
"669","195539","Eric M. Lang"
"670","260428","Matt Leacock"
"671","260428","Paolo Mori"
"672","385529","Eric Hong"
"673","39683","Uwe Rosenberg"
"674","101721","Bryan Pope"
"675","101721","Benjamin Pope"
"676","9217","Bernd Brunnhofer"
"677","250458","Andreas Steding"
"678","315767","Jordy Adan"
"679","315767","John Brieger"
"680","351040","John D. Clair"
"681","357563","Jules Messaud"
"682","284742","Paul Salomon"
