"","id","category"
"819","70149","Medieval"
"820","70149","Religious"
"821","70149","Territory Building"
"822","188","Abstract Strategy"
"823","171131","Deduction"
"824","171131","Fighting"
"825","171131","Modern Warfare"
"826","171131","Nautical"
"827","171131","Real-time"
"828","822","Medieval"
"829","822","Territory Building"
"830","14105","Ancient"
"831","14105","Wargame"
"832","299659","Ancient"
"833","299659","City Building"
"834","299659","Civilization"
"835","299659","Economic"
"836","299659","Territory Building"
"837","123260","City Building"
"838","123260","Economic"
"839","148228","Card Game"
"840","148228","Economic"
"841","148228","Renaissance"
"842","104006","Economic"
"843","104006","Farming"
"844","104006","Medieval"
"845","256680","Adventure"
"846","256680","Electronic"
"847","256680","Fantasy"
"848","256680","Fighting"
"849","285967","Ancient"
"850","285967","Fantasy"
"851","285967","Fighting"
"852","285967","Miniatures"
"853","285967","Mythology"
"854","150376","Bluffing"
"855","150376","Deduction"
"856","150376","Horror"
"857","150376","Science Fiction"
"858","150376","Zombies"
"859","215","Card Game"
"860","241451","Card Game"
"861","241451","Fantasy"
"862","241451","Science Fiction"
"863","293014","Card Game"
"864","293014","Fantasy"
"865","293014","Mythology"
"866","332686","Economic"
"867","332686","Educational"
"868","332686","Negotiation"
"869","332686","Political"
"870","269207","Card Game"
"871","269207","Dice"
"872","269207","Medieval"
"873","182631","Card Game"
"874","182631","Fighting"
"875","182631","Science Fiction"
"876","91","Wargame"
"877","91","World War I"
"878","7854","Abstract Strategy"
"879","9209","Trains"
"880","245638","Dice"
"881","245638","Renaissance"
"882","306735","Dice"
"883","306735","Science Fiction"
"884","126042","Card Game"
"885","126042","Civilization"
"886","126042","Economic"
"887","295486","City Building"
"888","165722","Action / Dexterity"
"889","165722","Real-time"
"890","195421","Adventure"
"891","195421","Exploration"
"892","195421","Fantasy"
"893","195421","Fighting"
"894","283155","Animals"
"895","283155","Puzzle"
"896","21050","Wargame"
"897","21050","World War II"
"898","54998","Ancient"
"899","54998","City Building"
"900","54998","Civilization"
"901","54998","Fighting"
"902","54998","Miniatures"
"903","54998","Mythology"
"904","54998","Nautical"
"905","188834","Bluffing"
"906","188834","Card Game"
"907","188834","Deduction"
"908","188834","Humor"
"909","188834","Party Game"
"910","188834","Political"
"911","188834","Print & Play"
"912","188834","Spies / Secret Agents"
"913","221194","Animals"
"914","221194","Economic"
"915","221194","Science Fiction"
"916","260605","Animals"
"917","260605","Arabian"
"918","260605","Dice"
"919","260605","Racing"
"920","146886","Economic"
"921","146886","Farming"
"922","224037","Card Game"
"923","224037","Deduction"
"924","224037","Spies / Secret Agents"
"925","224037","Word Game"
"926","223040","Card Game"
"927","223040","Fantasy"
"928","129437","Card Game"
"929","129437","Comic Book / Strip"
"930","232832","Card Game"
"931","232832","Economic"
"932","232832","Fantasy"
"933","158600","Card Game"
"934","158600","Medieval"
"935","274637","Card Game"
"936","274637","Fantasy"
"937","274637","Fighting"
"938","274637","Mythology"
"939","274637","Novel-based"
"940","156129","Bluffing"
"941","156129","Deduction"
"942","156129","Murder / Mystery"
"943","156129","Party Game"
"944","318977","Deduction"
"945","318977","Murder / Mystery"
"946","192291","Card Game"
"947","192291","Party Game"
"948","176189","Adventure"
"949","176189","Fantasy"
"950","176189","Fighting"
"951","176189","Horror"
"952","176189","Medieval"
"953","176189","Miniatures"
"954","176189","Zombies"
"955","3","Abstract Strategy"
"956","3","Medieval"
"957","176494","Economic"
"958","176494","Territory Building"
"959","199478","Racing"
"960","199478","Sports"
"961","555","City Building"
"962","555","Renaissance"
"963","19857","Ancient"
"964","19857","Card Game"
"965","19857","City Building"
"966","19857","Economic"
"967","169426","Dice"
"968","169426","Fantasy"
"969","169426","Medieval"
"970","224783","Exploration"
"971","224783","Fantasy"
"972","300322","Animals"
"973","300322","Economic"
"974","300322","Farming"
"975","300322","Industry / Manufacturing"
"976","300322","Post-Napoleonic"
"977","232405","Adventure"
"978","232405","American West"
"979","232405","Miniatures"
"980","228341","Dice"
"981","228341","Science Fiction"
"982","228341","Space Exploration"
"983","109276","Economic"
"984","109276","Industry / Manufacturing"
"985","198994","Card Game"
"986","198994","Fantasy"
"987","198994","Fighting"
"988","286096","Civilization"
"989","286096","Territory Building"
"990","194655","Abstract Strategy"
"991","194655","Ancient"
"992","194655","Mythology"
"993","9216","Economic"
"994","9216","Farming"
"995","9216","Nautical"
"996","9216","Renaissance"
"997","421","Economic"
"998","421","Trains"
"999","421","Transportation"
"1000","311193","Card Game"
"1001","311193","City Building"
"1002","311193","Economic"
"1003","311193","Industry / Manufacturing"
"1004","311193","Napoleonic"
"1005","311193","Video Game Theme"
